article_type_id,article_type
1,Addendum
2,An Analysis
3,An Appraisal
4,Archives
5,Article
6,Banner
7,Biography
8,Birth Notice
9,Blog
10,Brief
11,Caption
12,Chronology
13,Column
14,Correction
15,Economic Analysis
16,Editorial
17,Editorial Cartoon
18,Editors' Note
19,First Chapter
20,Front Page
21,Glossary
22,Interactive Feature
23,Interactive Graphic
24,Interview
25,Letter
26,List
27,Marriage Announcement
28,Military Analysis
29,News
30,News Analysis
31,Newsletter
32,Obituary
33,Op-Ed
34,Paid Death Notice
35,Postscript
36,Premium
37,Question
38,Quote
39,Recipe
40,Review
41,Schedule
42,SectionFront
43,Series
44,Slideshow
45,Special Report
46,Statistics
47,Summary
48,Text
49,Video
50,Web Log
